stfeco,stfgov,stflife,stfdem,bailout,Bailout,income,government,gndr,agea,eduyrs,hinctnta,partner,uemp3m,polintr,lrscale,region_north,region_east,region_west,region_south
5,8,8,4,1,1,5,1,2,78,15,5,2,2,1,7,0,1,0,0
6,3,8,8,1,1,NA,NA,2,19,13,NA,2,NA,2,6,0,1,0,0
5,6,9,8,1,1,10,0,1,61,20,10,1,2,2,4,0,1,0,0
2,7,10,7,1,1,8,1,2,29,15,8,1,NA,2,4,0,1,0,0
4,7,6,7,1,1,8,1,1,40,11,8,1,NA,2,4,0,1,0,0
3,4,5,6,1,1,4,NA,2,40,14,4,1,1,4,5,0,1,0,0
3,3,8,3,1,1,4,1,2,61,8,4,1,1,2,5,0,1,0,0
7,7,9,8,1,1,7,0,2,66,6,7,1,2,1,6,0,1,0,0
7,7,7,8,1,1,9,0,1,44,15,9,1,2,3,8,0,1,0,0
5,4,7,5,1,1,8,NA,2,23,16,8,1,NA,4,3,0,1,0,0
6,6,8,5,1,1,NA,1,1,62,11,NA,1,NA,2,4,0,1,0,0
7,7,7,6,1,1,3,0,1,72,8,3,1,2,3,6,0,1,0,0
NA,7,8,7,1,1,9,0,2,50,14,9,1,2,3,8,0,1,0,0
7,7,7,7,1,1,6,1,2,49,17,6,2,2,2,4,0,1,0,0
6,6,7,8,1,1,9,1,2,29,17,9,1,2,2,5,0,1,0,0
7,6,7,8,1,1,9,1,2,49,23,9,2,1,2,3,0,1,0,0
8,9,10,7,1,1,8,0,2,78,13,8,1,NA,2,7,0,1,0,0
8,8,9,9,1,1,8,0,1,54,22,8,1,NA,2,6,0,1,0,0
7,7,8,7,1,1,8,1,2,43,14,8,1,NA,2,5,0,1,0,0
8,7,7,7,1,1,3,1,1,54,12,3,1,2,2,5,0,1,0,0
5,6,7,6,1,1,8,1,2,58,10,8,1,NA,2,5,0,1,0,0
2,4,8,6,1,1,4,0,2,35,20,4,2,2,2,5,0,1,0,0
